GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410111,2024-09-08T20:20:00,1,2024,1,LAR,DET,AWAY,20,26,46,Ford Field,3,0,7,10,0,34,56,34:56,26,8,15,3,74,387,5.2,2,23,83,3.6,1,49,34,304,1,1,6.2,8.9,69.4,84.06,12,5,41.7,2,1,50.0,5,2,0,0,6,50,0,0,2,13,5,3,3,141,47.0,1,1,0,0,10,7,3,6,29,45,29:45,21,12,7,2,61,363,6.0,3,31,163,5.3,2,28,18,200,1,1,7.1,11.1,64.3,82.44,13,6,46.2,1,1,100.0,4,2,0,0,6,56,0,0,2,17,12,7,4,230,57.5,1,1,0,40.0,0,50.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,35,36,2,17,3,0,0,46,28,2,13,5,0,0,Sunday,993004475,32,11,18670
202410201,2024-09-15T16:05:00,1,2024,2,LAR,ARI,AWAY,10,41,51,State Farm Stadium,0,3,7,0,0,23,6,23:06,14,4,9,1,52,245,4.7,1,20,53,2.6,1,27,19,192,0,0,7.1,10.1,70.4,90.35,11,2,18.2,3,1,33.3,3,1,0,0,2,10,1,1,5,24,1,6,4,215,53.8,1,1,0,14,10,10,7,0,36,54,36:54,24,14,9,1,62,489,7.9,5,40,231,5.8,2,21,17,258,3,0,12.3,15.2,81.0,157.44,11,7,63.6,0,0,0.0,4,3,0,0,5,52,2,1,1,8,9,12,1,60,60.0,1,1,0,33.3,0,75.0,0,1,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,2,2,45,26,1,8,1,1,1,35,24,5,24,2,1,1,Sunday,993004501,32,1,18689
202410332,2024-09-22T16:25:00,1,2024,3,LAR,SF,HOME,27,24,51,SoFi Stadium,0,7,7,13,0,26,33,26:33,19,8,8,3,55,296,5.4,3,26,98,3.8,2,26,16,198,1,0,7.6,12.4,61.5,97.92,12,5,41.7,2,2,100.0,5,3,0,0,8,75,0,0,3,23,3,4,3,127,42.3,0,1,1,14,0,7,3,0,33,27,33:27,25,8,13,4,65,425,6.5,3,34,137,4.0,0,30,22,288,3,0,9.6,13.1,73.3,136.53,11,6,54.5,1,1,100.0,3,2,0,0,7,111,2,1,1,4,5,5,2,90,45.0,1,0,-1,60.0,0,66.7,0,3,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,1,38,43,1,4,2,2,1,34,21,3,23,4,0,0,Sunday,993004532,32,31,18706
202410406,2024-09-29T13:00:00,1,2024,4,LAR,CHI,AWAY,18,24,42,Soldier Field,3,3,3,9,0,31,2,31:02,21,8,11,2,58,322,5.6,1,26,119,4.6,1,29,20,203,0,1,7.0,10.2,69.0,74.35,11,5,45.5,0,0,0.0,4,1,0,0,6,44,1,1,3,21,3,4,1,67,67.0,2,0,-2,0,10,7,7,0,28,58,28:58,17,7,7,3,54,264,4.9,3,28,131,4.7,2,23,17,133,1,0,5.8,7.8,73.9,102.26,9,3,33.3,0,0,0.0,4,2,0,0,10,84,1,0,3,24,6,7,5,277,55.4,0,2,2,25.0,0,50.0,0,0,0,0,2,0,0,0,5,4,3,3,0,0,0,0,0,1,1,32,28,3,24,0,1,0,40,20,3,21,3,1,1,Sunday,993004551,32,6,18726
202410532,2024-10-06T16:25:00,1,2024,5,LAR,GB,HOME,19,24,43,SoFi Stadium,0,13,0,6,0,32,41,32:41,24,12,11,1,76,370,4.9,3,28,134,4.8,1,45,29,236,1,1,5.2,8.1,64.4,75.79,16,8,50.0,4,2,50.0,3,2,0,0,5,30,1,1,3,24,3,4,3,129,43.0,2,1,-1,7,3,14,0,0,27,19,27:19,19,9,8,2,58,323,5.6,3,30,126,4.2,1,26,15,197,2,1,7.6,13.1,57.7,91.35,8,1,12.5,0,0,0.0,3,2,0,0,6,34,1,0,2,27,10,4,5,186,37.2,1,2,1,66.7,0,66.7,0,2,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,1,1,35,25,2,27,4,1,0,39,42,3,24,5,1,1,Sunday,993004596,32,12,18735
202410732,2024-10-20T16:05:00,1,2024,7,LAR,LV,HOME,20,15,35,SoFi Stadium,0,14,6,0,0,26,12,26:12,15,7,6,2,52,259,5.0,3,28,115,4.1,2,23,14,144,0,1,6.3,10.3,60.9,60.78,10,2,20.0,1,0,0.0,3,2,0,0,3,28,0,0,1,10,10,3,6,261,43.5,1,4,3,0,6,3,6,0,33,48,33:48,20,7,12,1,75,317,4.2,0,29,122,4.2,0,44,21,195,0,3,4.4,9.3,47.7,31.91,15,3,20.0,1,1,100.0,2,0,0,0,10,80,1,1,2,11,2,2,4,190,47.5,4,1,-3,66.7,0,0.0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,45,27,2,11,8,1,1,37,13,1,10,4,0,0,Sunday,993004652,32,25,18765
202410832,2024-10-24T20:15:00,1,2024,8,LAR,MIN,HOME,30,20,50,SoFi Stadium,7,7,7,9,0,33,37,33:37,26,5,16,5,66,386,5.8,4,32,107,3.3,0,34,25,279,4,1,8.2,11.2,73.5,124.51,10,4,40.0,1,1,100.0,3,3,0,0,6,40,0,0,0,0,6,4,3,128,42.7,1,0,-1,14,0,3,3,0,26,23,26:23,17,3,14,0,50,276,5.5,2,22,64,2.9,0,25,18,212,2,0,8.5,11.8,72.0,124.08,7,2,28.6,0,0,0.0,4,2,0,0,9,50,0,0,3,28,2,6,3,151,50.3,0,1,1,100.0,0,50.0,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,33,21,3,28,0,0,0,40,31,0,0,5,0,0,Thursday,993004662,32,20,18791
202410930,2024-11-03T16:25:00,1,2024,9,LAR,SEA,AWAY,26,20,46,Lumen Field,0,3,10,7,6,32,10,32:10,22,4,13,5,68,366,5.4,3,24,68,2.8,0,44,25,298,2,1,6.8,11.9,56.8,83.33,13,3,23.1,0,0,0.0,3,1,0,0,8,83,3,0,0,0,11,8,7,281,40.1,1,3,2,0,13,0,7,0,32,53,32:53,20,4,14,2,74,424,5.7,3,33,107,3.2,0,34,21,317,3,3,9.3,15.1,61.8,85.05,15,4,26.7,3,2,66.7,4,1,0,0,12,95,2,0,7,46,7,5,7,330,47.1,3,1,-2,33.3,0,25.0,0,2,2,0,0,0,0,0,2,2,3,2,1,0,0,0,0,0,0,44,31,7,46,8,0,0,38,29,0,0,8,1,0,Sunday,993004717,32,30,18795
202411032,2024-11-11T20:15:00,1,2024,10,LAR,MIA,HOME,15,23,38,SoFi Stadium,0,6,0,9,0,30,12,30:12,20,4,16,0,68,327,4.8,0,18,70,3.9,0,46,32,257,0,1,5.6,8.0,69.6,74.28,12,3,25.0,0,0,0.0,3,0,0,0,6,64,3,1,4,36,4,10,3,148,49.3,2,2,0,7,3,7,6,0,29,48,29:48,15,3,11,1,53,238,4.5,2,22,67,3.0,1,28,20,171,1,1,6.1,8.6,71.4,84.08,13,6,46.2,0,0,0.0,3,2,0,0,1,15,1,1,3,36,6,7,3,134,44.7,2,2,0,0.0,0,66.7,0,0,0,0,0,0,0,0,6,5,2,2,0,0,0,0,0,3,3,39,15,3,36,4,1,1,39,30,4,36,6,2,1,Monday,993004750,32,19,18807
202411121,2024-11-17T13:00:00,1,2024,11,LAR,NE,AWAY,28,22,50,Gillette Stadium,0,14,14,0,0,22,40,22:40,19,5,13,1,51,402,7.9,4,24,107,4.5,0,27,18,295,4,0,10.9,16.4,66.7,142.75,8,2,25.0,1,1,100.0,4,3,0,0,7,66,0,0,0,0,5,6,4,138,34.5,0,2,2,7,3,3,9,0,37,20,37:20,26,6,16,4,72,382,5.3,2,30,125,4.2,0,39,29,257,2,1,6.6,8.9,74.4,97.92,14,6,42.9,0,0,0.0,5,2,0,0,7,45,2,1,3,25,4,0,2,74,37.0,2,0,-2,75.0,0,40.0,0,4,4,0,0,0,0,0,1,0,2,1,1,0,0,0,0,3,3,46,39,3,25,8,2,1,27,22,0,0,2,0,0,Sunday,993004759,32,21,18830
